央视频道,#genre#
CCTV1,http://dsj.motem.top:8880/gaoma/cctv1.m3u8
CCTV1,http://129.146.6.71:35455/gaoma/cctv1.m3u8
CCTV1,http://139.196.214.238/rtp/239.45.3.145:5140
CCTV1,http://139.129.231.228/rtp/239.21.1.120:5002
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV1,http://139.196.151.191/rtp/239.45.3.145:5140
CCTV2,http://dsj.motem.top:8880/gaoma/cctv2.m3u8
CCTV2,http://129.146.6.71:35455/gaoma/cctv2.m3u8
CCTV2,http://139.196.214.238/rtp/239.45.1.109:5140
CCTV2,http://139.129.231.228/rtp/239.21.1.151:5002
CCTV2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
CCTV2,http://139.196.151.191/rtp/239.45.1.109:5140
CCTV2,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8
CCTV3,http://dsj.motem.top:8880/gaoma/cctv3.m3u8
CCTV3,http://129.146.6.71:35455/gaoma/cctv3.m3u8
CCTV3,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv3&ChannelID=cctv3&videoTVChannel=cctv3&P2PChannelID=pd://cctv_p2p_cctv3
CCTV3,http://139.196.214.238/rtp/239.45.1.68:5140
CCTV3,http://139.129.231.228/rtp/239.21.2.45:5002
CCTV3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV3,http://139.196.151.191/rtp/239.45.1.68:5140
CCTV4,http://dsj.motem.top:8880/gaoma/cctv4.m3u8
CCTV4,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctveurope&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope
CCTV4,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?v=180.171.5.8.9.6.3.9&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope&tai=cctv1&VideoName=cctv1&channelID=cctveurope
CCTV4,http://139.196.214.238/rtp/239.45.0.2:5140
CCTV4,http://139.129.231.228/rtp/239.21.1.154:5002
CCTV4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
CCTV5,http://dsj.motem.top:8880/gaoma/cctv5.m3u8
CCTV5,http://129.146.6.71:35455/gaoma/cctv5.m3u8
CCTV5,http://139.196.214.238/rtp/239.45.1.69:5140
CCTV5,http://139.129.231.228/rtp/239.21.2.46:5002
CCTV5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV5,http://139.196.151.191/rtp/239.45.1.69:5140
CCTV5,https://piccpndali.v.myalicdn.com/audio/cctv5_2.m3u8
CCTV5+,http://dsj.motem.top:8880/gaoma/cctv5p.m3u8
CCTV5+,http://129.146.6.71:35455/gaoma/cctv5p.m3u8
CCTV5+,http://139.129.231.228/rtp/239.21.1.142:5002
CCTV5+,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8
CCTV5+,http://www.douzhicloud.site:35455/gaoma/cctv5p.m3u8
CCTV5+,http://3501776.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://dsj.motem.top:8880/gaoma/cctv6.m3u8
CCTV6,http://129.146.6.71:35455/gaoma/cctv6.m3u8
CCTV6,http://139.196.214.238/rtp/239.45.1.70:5140
CCTV6,http://139.129.231.228/rtp/239.21.2.47:5002
CCTV6,https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8
CCTV6,http://139.196.151.191/rtp/239.45.1.70:5140
CCTV6,https://piccpndali.v.myalicdn.com/audio/cctv6_2.m3u8
CCTV7,http://dsj.motem.top:8880/gaoma/cctv7.m3u8
CCTV7,http://129.146.6.71:35455/gaoma/cctv7.m3u8
CCTV7,http://139.196.214.238/rtp/239.45.3.56:5140
CCTV7,http://139.129.231.228/rtp/239.21.1.152:5002
CCTV7,https://api.olelive.com/dis/live/CCTV7HD/hls.m3u8
CCTV7,http://139.196.151.191/rtp/239.45.3.56:5140
CCTV7,https://piccpndali.v.myalicdn.com/audio/cctv7_2.m3u8
CCTV8,http://dsj.motem.top:8880/gaoma/cctv8.m3u8
CCTV8,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv8&ChannelID=cctv8&videoTVChannel=cctv8&P2PChannelID=pd://cctv_p2p_cctv8
CCTV8,http://139.196.214.238/rtp/239.45.1.71:5140
CCTV8,http://139.129.231.228/rtp/239.21.2.48:5002
CCTV8,https://api.olelive.com/dis/live/CCTV8HD/hls.m3u8
CCTV8,http://139.196.151.191/rtp/239.45.1.71:5140
CCTV9,http://dsj.motem.top:8880/gaoma/cctv9.m3u8
